AQ Daily index (https://uk-air.defra.gov.uk//air-pollution/daqi?view=more-info) data from UK-AIR website,
Date,Greater London
01/01/2014,3
02/01/2014,3
03/01/2014,3
04/01/2014,3
05/01/2014,2
06/01/2014,3
07/01/2014,3
08/01/2014,3
09/01/2014,3
10/01/2014,3
11/01/2014,3
12/01/2014,3
13/01/2014,3
14/01/2014,3
15/01/2014,3
16/01/2014,3
17/01/2014,3
18/01/2014,2
19/01/2014,3
20/01/2014,6
21/01/2014,4
22/01/2014,4
23/01/2014,3
24/01/2014,3
25/01/2014,3
26/01/2014,3
27/01/2014,3
28/01/2014,3
29/01/2014,3
30/01/2014,3
31/01/2014,3
01/02/2014,3
02/02/2014,3
03/02/2014,2
04/02/2014,3
05/02/2014,3
06/02/2014,3
07/02/2014,3
08/02/2014,3
09/02/2014,3
10/02/2014,3
11/02/2014,3
12/02/2014,3
13/02/2014,4
14/02/2014,3
15/02/2014,3
16/02/2014,3
17/02/2014,2
18/02/2014,3
19/02/2014,3
20/02/2014,2
21/02/2014,3
22/02/2014,3
23/02/2014,3
24/02/2014,3
25/02/2014,3
26/02/2014,4
27/02/2014,4
28/02/2014,3
01/03/2014,3
02/03/2014,3
03/03/2014,3
04/03/2014,4
05/03/2014,4
06/03/2014,3
07/03/2014,4
08/03/2014,3
09/03/2014,5
10/03/2014,3
11/03/2014,3
12/03/2014,5
13/03/2014,9
14/03/2014,10
15/03/2014,3
16/03/2014,3
17/03/2014,3
18/03/2014,3
19/03/2014,3
20/03/2014,3
21/03/2014,4
22/03/2014,3
23/03/2014,3
24/03/2014,3
25/03/2014,3
26/03/2014,3
27/03/2014,4
28/03/2014,6
29/03/2014,7
30/03/2014,5
31/03/2014,3
01/04/2014,4
02/04/2014,8
03/04/2014,8
04/04/2014,4
05/04/2014,3
06/04/2014,2
07/04/2014,3
08/04/2014,3
09/04/2014,4
10/04/2014,3
11/04/2014,3
12/04/2014,3
13/04/2014,3
14/04/2014,3
15/04/2014,3
16/04/2014,4
17/04/2014,3
18/04/2014,3
19/04/2014,3
20/04/2014,5
21/04/2014,4
22/04/2014,3
23/04/2014,3
24/04/2014,3
25/04/2014,3
26/04/2014,3
27/04/2014,3
28/04/2014,3
29/04/2014,4
30/04/2014,3
01/05/2014,4
02/05/2014,3
03/05/2014,3
04/05/2014,4
05/05/2014,4
06/05/2014,3
07/05/2014,3
08/05/2014,3
09/05/2014,3
10/05/2014,3
11/05/2014,3
12/05/2014,3
13/05/2014,3
14/05/2014,4
15/05/2014,3
16/05/2014,4
17/05/2014,3
18/05/2014,5
19/05/2014,4
20/05/2014,4
21/05/2014,3
22/05/2014,3
23/05/2014,3
24/05/2014,3
25/05/2014,3
26/05/2014,2
27/05/2014,3
28/05/2014,3
29/05/2014,3
30/05/2014,3
31/05/2014,3
01/06/2014,4
02/06/2014,4
03/06/2014,3
04/06/2014,3
05/06/2014,3
06/06/2014,4
07/06/2014,3
08/06/2014,3
09/06/2014,4
10/06/2014,3
11/06/2014,4
12/06/2014,4
13/06/2014,4
14/06/2014,3
15/06/2014,3
16/06/2014,3
17/06/2014,3
18/06/2014,3
19/06/2014,3
20/06/2014,3
21/06/2014,3
22/06/2014,3
23/06/2014,3
24/06/2014,4
25/06/2014,3
26/06/2014,3
27/06/2014,3
28/06/2014,3
29/06/2014,3
30/06/2014,3
01/07/2014,3
02/07/2014,3
03/07/2014,4
04/07/2014,3
05/07/2014,2
06/07/2014,3
07/07/2014,3
08/07/2014,3
09/07/2014,3
10/07/2014,3
11/07/2014,3
12/07/2014,4
13/07/2014,2
14/07/2014,4
15/07/2014,3
16/07/2014,4
17/07/2014,3
18/07/2014,4
19/07/2014,4
20/07/2014,5
21/07/2014,4
22/07/2014,3
23/07/2014,4
24/07/2014,4
25/07/2014,3
